year,short_cite,led_by_kinney,title,authors,venue,citations,paper,preprint,pub_id,github,readthedocs,has_pdf,has_si,doi
2021,Chen et al. (2021),FALSE,Field-theoretic density estimation for biological sequence space with applications to 5' splice site diversity and aneuploidy in cancer,"Wei-Chia Chen, Juannan Zhou, Jason M Sheltzer, Justin B Kinney, David M McCandlish","Proc Natl Acad Sci USA 118 (40), e2025782118, 2021",,https://www.pnas.org/doi/10.1073/pnas.2025782118,,Chen2021_deft,,,TRUE,TRUE,10.1073/pnas.2025782118
2021,Skalenko et al. (2021),FALSE,Promoter-sequence determinants and structural basis of primer-dependent transcription initiation in Escherichia coli,"Kyle S Skalenko, Lingting Li, Yuanchao Zhang, Irina O Vvedenskaya, Jared T Winkelman, Alexander L Cope, Deanne M Taylor, Premal Shah, Richard H Ebright, Justin B Kinney, Yu Zhang, Bryce E Nickels","Proc Natl Acad Sci USA 118 (27), e2106388118, 2021",,https://www.pnas.org/doi/10.1073/pnas.2106388118,,Skalenko2021_primer,,,TRUE,TRUE,10.1073/pnas.2106388118
2020,Tareen et al. (2020),TRUE,Logomaker: beautiful sequence logos in Python,"Ammar Tareen, Justin B Kinney","Bioinformatics 36 (7), 2272-2274, 2020",,https://academic.oup.com/bioinformatics/article/36/7/2272/5671693,,Tareen2020_logomaker,https://github.com/jbkinney/logomaker,https://logomaker.readthedocs.io,TRUE,,10.1093/bioinformatics/btz921
2020,Hu et al. (2020),FALSE,Evolution of DNA replication origin specification and gene silencing mechanisms,"Yixin Hu, Ammar Tareen, Yi-Jun Sheu, William T Ireland, Christian Speck, Heng Li, Leemor Joshua-Tor, Justin B Kinney, Bruce Stillman","Nat Commun 11 (1), 5175, 2020",,https://www.nature.com/articles/s41467-020-18964-x,,Hu2020_origins,,,TRUE,TRUE,10.1038/s41467-020-18964-x
2020,Ireland et al. (2020),FALSE,"Deciphering the regulatory genome of Escherichia coli, one hundred promoters at a time","William T Ireland, Suzannah M Beeler, Emanuel Flores-Bautista, Nicholas S McCarty, Tom Röschinger, Nathan M Belliveau, Michael J Sweredoski, Annie Moradian, Justin B Kinney, Rob Phillips","eLife 9, e55308, 2020",,https://elifesciences.org/articles/55308,,Ireland2020_ecoli,,,TRUE,,10.7554/elife.55308
2019,Tareen et al. (2019),TRUE,Biophysical models of cis-regulation as interpretable neural networks,"Ammar Tareen, Justin B Kinney","Proceedings of the 14th conference on Machine Learning in Computational Biology (MLCB), 2019",,https://mlcb.github.io/mlcb2019_proceedings/papers/paper_78.pdf,,Tareen2019_biophysical,https://github.com/jbkinney/19_mlcb,,TRUE,,10.1101/835942
2019,Kinney et al. (2019),TRUE,Massively parallel assays and quantitative sequence-function relationships,"Justin B Kinney*, David M McCandlish*","Annu Rev Genomics Hum Genet 20 (1), 99-127, 2019",,https://www.annualreviews.org/content/journals/10.1146/annurev-genom-083118-014845,,Kinney2019_mpra,,,TRUE,,10.1146/annurev-genom-083118-014845
2019,Barnes et al. (2019),FALSE,Mapping DNA sequence to transcription factor binding energy in vivo,"Stephanie L Barnes, Nathan M Belliveau, William T Ireland, Justin B Kinney, Rob Phillips","PLoS Comput Biol 15 (2), e1006226, 2019",,https://journals.plos.org/ploscompbiol/article?id=10.1371/journal.pcbi.1006226,,Barnes2019_tfbinding,,,TRUE,TRUE,10.1371/journal.pcbi.1006226
2019,Adams et al. (2019),FALSE,Epistasis in a fitness landscape defined by antibody-antigen binding free energy,"Rhys M Adams, Justin B Kinney, Aleksandra M Walczak, Thierry Mora","Cell Syst 8 (1), 86-93. e3, 2019",,https://www.cell.com/cell-systems/fulltext/S2405-4712(18)30478-2,,Adams2019_epistasis,,,TRUE,TRUE,10.1016/j.cels.2018.12.004
2018,Forcier et al. (2018),TRUE,Measuring cis-regulatory energetics in living cells using allelic manifolds,"Talitha L Forcier, Andalus Ayaz, Manraj S Gill, Daniel Jones, Rob Phillips, Justin B Kinney","eLife 7, e40618, 2018",,https://elifesciences.org/articles/40618,,Forcier2018_allelic,https://github.com/jbkinney/17_inducibility,,TRUE,,10.7554/elife.40618
2018,Chen et al. (2018),TRUE,Density estimation on small data sets,"Wei-Chia Chen, Ammar Tareen, Justin B Kinney","Phys Rev Lett 121 (16), 160605, 2018",,https://journals.aps.org/prl/abstract/10.1103/PhysRevLett.121.160605,,Chen2018_density,https://github.com/jbkinney/suftware,https://suftware.readthedocs.io/en/latest/,TRUE,TRUE,10.1103/physrevlett.121.160605
2018,Wong et al. (2018),TRUE,Quantitative Activity Profile and Context Dependence of All Human 5' Splice Sites,"Mandy S Wong, Justin B Kinney*, Adrian R Krainer*","Mol Cell 71 (6), 1012-1026.e3, 2018",,https://www.sciencedirect.com/science/article/pii/S1097276518306026,,Wong2018_splicesites,https://github.com/jbkinney/15_splicing,,TRUE,,10.1016/j.molcel.2018.07.033
2018,Lu et al. (2018),FALSE,A transcription factor addiction in leukemia imposed by the MLL promoter sequence,"Bin Lu, Olaf Klingbeil, Yusuke Tarumoto, Tim DD Somerville, Yu-Han Huang, Yiliang Wei, Dorothy C Wai, Jason KK Low, Joseph P Milazzo, Xiaoli S Wu, Zhendong Cao, Xiaomei Yan, Osama El Demerdash, Gang Huang, Joel P Mackay, Justin B Kinney, Junwei Shi, Christopher R Vakoc","Cancer Cell 34 (6), 970-981. e8, 2018",,https://www.cell.com/cancer-cell/fulltext/S1535-6108(18)30481-1,,Lu2018_mll,,,TRUE,TRUE,10.1016/j.ccell.2018.10.015
2018,Posfai et al. (2018),FALSE,Selection for protein stability enriches for epistatic interactions,"Anna Posfai, Juannan Zhou, Joshua B Plotkin, Justin B Kinney, David M McCandlish","Genes 9 (9), 423, 2018",,https://www.mdpi.com/2073-4425/9/9/423,,Posfai2018_stability,,,TRUE,,10.3390/genes9090423
